1,5
5,6
5,13
9,13
5,9
1,9
2,9
13,1
2,6
6,7
6,13
10,13
6,10
2,10
3,10
13,2
3,7
7,8
7,13
11,13
7,11
3,11
4,11
13,3
4,8
8,5
8,13
12,13
8,12
4,12
1,12
13,4
5,14
14,15
14,22
18,22
14,18
5,18
6,18
22,5
6,15
15,16
15,22
19,22
15,19
6,19
7,19
22,6
7,16
16,17
16,22
20,22
16,20
7,20
8,20
22,7
8,17
17,14
17,22
21,22
17,21
8,21
5,21
22,8
14,23
23,24
23,31
27,31
23,27
14,27
15,27
31,14
15,24
24,25
24,31
28,31
24,28
15,28
16,28
31,15
16,25
25,26
25,31
29,31
25,29
16,29
17,29
31,16
17,26
26,23
26,31
30,31
26,30
17,30
14,30
31,17
23,32
32,33
32,40
36,40
32,36
23,36
24,36
40,23
24,33
33,34
33,40
37,40
33,37
24,37
25,37
40,24
25,34
34,35
34,40
38,40
34,38
25,38
26,38
40,25
26,35
35,32
35,40
39,40
35,39
26,39
23,39
40,26
32,41
41,42
41,49
45,49
41,45
32,45
33,45
49,32
33,42
42,43
42,49
46,49
42,46
33,46
34,46
49,33
34,43
43,44
43,49
47,49
43,47
34,47
35,47
49,34
35,44
44,41
44,49
48,49
44,48
35,48
32,48
49,35
41,50
50,51
50,58
54,58
50,54
41,54
42,54
58,41
42,51
51,52
51,58
55,58
51,55
42,55
43,55
58,42
43,52
52,53
52,58
56,58
52,56
43,56
44,56
58,43
44,53
53,50
53,58
57,58
53,57
44,57
41,57
58,44
50,59
59,60
59,67
63,67
59,63
50,63
51,63
67,50
51,60
60,61
60,67
64,67
60,64
51,64
52,64
67,51
52,61
61,62
61,67
65,67
61,65
52,65
53,65
67,52
53,62
62,59
62,67
66,67
62,66
53,66
50,66
67,53
59,68
68,69
68,76
72,76
68,72
59,72
60,72
76,59
60,69
69,70
69,76
73,76
69,73
60,73
61,73
76,60
61,70
70,71
70,76
74,76
70,74
61,74
62,74
76,61
62,71
71,68
71,76
75,76
71,75
62,75
59,75
76,62
68,77
77,78
77,85
81,85
77,81
68,81
69,81
85,68
69,78
78,79
78,85
82,85
78,82
69,82
70,82
85,69
70,79
79,80
79,85
83,85
79,83
70,83
71,83
85,70
71,80
80,77
80,85
84,85
80,84
71,84
68,84
85,71
77,86
86,87
86,94
90,94
86,90
77,90
78,90
94,77
78,87
87,88
87,94
91,94
87,91
78,91
79,91
94,78
79,88
88,89
88,94
92,94
88,92
79,92
80,92
94,79
80,89
89,86
89,94
93,94
89,93
80,93
77,93
94,80
86,95
95,96
95,103
99,103
95,99
86,99
87,99
103,86
87,96
96,97
96,103
100,103
96,100
87,100
88,100
103,87
88,97
97,98
97,103
101,103
97,101
88,101
89,101
103,88
89,98
98,95
98,103
102,103
98,102
89,102
86,102
103,89
95,104
104,105
104,112
108,112
104,108
95,108
96,108
112,95
96,105
105,106
105,112
109,112
105,109
96,109
97,109
112,96
97,106
106,107
106,112
110,112
106,110
97,110
98,110
112,97
98,107
107,104
107,112
111,112
107,111
98,111
95,111
112,98
104,113
113,114
113,121
117,121
113,117
104,117
105,117
121,104
105,114
114,115
114,121
118,121
114,118
105,118
106,118
121,105
106,115
115,116
115,121
119,121
115,119
106,119
107,119
121,106
107,116
116,113
116,121
120,121
116,120
107,120
104,120
121,107
113,122
122,123
122,130
126,130
122,126
113,126
114,126
130,113
114,123
123,124
123,130
127,130
123,127
114,127
115,127
130,114
115,124
124,125
124,130
128,130
124,128
115,128
116,128
130,115
116,125
125,122
125,130
129,130
125,129
116,129
113,129
130,116
122,131
131,132
131,139
135,139
131,135
122,135
123,135
139,122
123,132
132,133
132,139
136,139
132,136
123,136
124,136
139,123
124,133
133,134
133,139
137,139
133,137
124,137
125,137
139,124
125,134
134,131
134,139
138,139
134,138
125,138
122,138
139,125
131,140
140,141
140,148
144,148
140,144
131,144
132,144
148,131
132,141
141,142
141,148
145,148
141,145
132,145
133,145
148,132
133,142
142,143
142,148
146,148
142,146
133,146
134,146
148,133
134,143
143,140
143,148
147,148
143,147
134,147
131,147
148,134
